ind,price
385,3184
386,3184
387,3184
388,3184
389,3184
390,3184
391,3184
392,3184
393,3184
394,3184
395,3184
396,3184
397,3184
398,3184
399,3184
400,3184
401,3184
402,3184
403,3184
404,3184
405,3184
406,3184
407,3184
408,3184
409,3184
410,3184
411,3184
412,3184
413,3184
414,3184
415,3184
416,3184
417,3184
418,3184
419,3184
420,3184
421,3184
422,3184
423,3184
424,3184
425,3184
426,3184
427,3184
428,3184
429,3184
430,3184
431,3184
432,3184
433,3184
434,3184
435,3184
436,3184
437,3184
438,3184
439,3184
440,3184
441,3184
442,3184
443,3184
444,3184
445,3184
446,3184
447,3184
448,3184
449,3184
450,3184
451,3184
452,3184
453,3184
454,3184
455,3184
456,3184
457,3184
458,3184
459,3184
460,3184
461,3184
462,3184
463,3184
464,3184
465,3184
466,3184
467,3184
468,3184
469,3184
470,3184
471,3184
472,3184
473,3184
474,3184
475,3184
476,3184
477,3184
478,3184
479,3184
480,3184
481,3184
482,3184
483,3184
484,3184
485,3184
486,3184
487,3184
488,3184
489,3184
490,3184
491,3184
492,3184
493,3184
494,3184
495,3184
496,3184
497,3184
498,3184
499,3184
500,3184
501,3184
502,3184
503,3184
504,3184
505,3184
506,3184
507,3184
508,3184
509,3184
510,3184
511,3184
512,3184
513,3184
514,3184
515,3184
516,3184
517,3184
518,3184
519,3184
520,3184
521,3184
522,3184
523,3184
524,3184
525,3184
526,3184
527,3184
528,3184
529,3184
530,3184
531,3184
532,3184
533,3184
534,3184
535,3184
536,3184
537,3184
538,3184
539,3184
540,3184
541,3184
542,3184
543,3184
544,3184
545,3184
546,3184
547,3184
548,3184
549,3184
550,3184
551,3184
552,3184
553,3184
554,3184
555,3184
556,3184
557,3184
558,3184
559,3184
560,3184
561,3184
562,3184
563,3184
564,3184
565,3184
566,3184
567,3184
568,3184
569,3184
570,3184
571,3184
572,3184
573,3184
574,3184
575,3184
576,3184
577,3184
578,3184
579,3184
580,3184
581,3184
582,3184
583,3184
584,3184
585,3184
586,3184
587,3184
588,3184
589,3184
590,3184
591,3184
592,3184
593,3184
594,3184
595,3184
596,3184
597,3184
598,3184
599,3184
600,3184
601,3184
602,3184
603,3184
604,3184
605,3184
606,3184
607,3184
608,3184
609,3184
610,3184
611,3184
612,3184
613,3184
614,3184
615,3184
616,3184
617,3184
618,3184
619,3184
620,3184
621,3184
622,3184
623,3184
624,3184
625,3184
626,3184
627,3184
628,3184
629,3184
630,3184
631,3184
632,3184
633,3184
634,3184
635,3184
636,3184
637,3184
638,3184
639,3184
640,3184
641,3184
642,3184
643,3184
644,3184
645,3184
646,3184
647,3184
648,3184
649,3184
650,3184
651,3184
652,3184
653,3184
654,3184
655,3184
656,3184
657,3184
658,3184
659,3184
660,3184
661,3184
662,3184
663,3184
664,3184
665,3184
666,3184
667,3184
668,3184
669,3184
670,3184
671,3184
672,3184
673,3184
674,3184
675,3184
676,3184
677,3184
678,3184
679,3184
680,3184
681,3184
682,3184
683,3184
684,3184
685,3184
686,3184
